pk,jsondata,id,name,description,markup_description,size,duration,date_created,mime_type,movie_pk,updated,active,created
51,"{""web"": ""web.JPG"", ""original"": ""full.JPG"", ""thumbnail"": ""thumbnail.JPG"", ""objid"": ""EAEA0-C4F6-538B-2269-0"", ""size"": 3280642}",4cd2aa2c7426332c4936de3f407413d5,fl_Caryophyallaceae_Polycarpaea_corymbosa_Segue1_09_2011_entire_50156_JH.JPG,,,3280642,,2011-09-01,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
52,"{""web"": ""web.JPG"", ""original"": ""full.JPG"", ""thumbnail"": ""thumbnail.JPG"", ""objid"": ""EAEA0-47D6-C504-BF1B-0"", ""size"": 2625727}",53985aac9d3d87a092c9cf51897783c4,fl_Malvaceae_Sida_alba_Nando_10_2011_side_50421_JH.JPG,,,2625727,,2011-10-01,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
53,"{""web"": ""web.jpg"", ""original"": ""full.jpg"", ""thumbnail"": ""thumbnail.jpg"", ""objid"": ""EAEA0-9FEE-82B0-17C4-0"", ""size"": 288097}",c0d07e1e9c55e0646e87adc5419f1aa7,fl_Araceae_Amorphophallus_baumannii_Walo_spadix_50083_JH.jpg,,,288097,,,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
54,"{""web"": null, ""original"": ""a.avi"", ""objid"": ""EAEA0-B349-E9BB-2C61-0"", ""duration"": 463.12, ""thumbnail"": null, ""size"": 93920744}",a79bb89d4a993637030e00eba664050d,sesame_farming_Beni_2011.avi,,,93920744,463.12,,video/x-msvideo,33,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
55,"{""web"": null, ""original"": ""a.mov"", ""objid"": ""EAEA0-F204-55B7-8AE8-0"", ""duration"": 4.828345, ""thumbnail"": null, ""size"": 135509}",c038f83b9d6c9481a06a3ab974611135,139_05_00_5_09006_scrape_eg_skin_with_knife_sheep_testicle_Jam_kɔɔjɔ_JH.mov,,,135509,4.828345,,video/quicktime,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
56,"{""web"": ""web.jpg"", ""original"": ""a.jpg"", ""thumbnail"": ""thumbnail.jpg"", ""objid"": ""EAEA0-AED4-FB89-857E-0"", ""size"": 2971513}",7e67960db3388a4f27e47992f20bb187,fl_Meliaceae_Carapa_procera_Kou_Forest_08_2012_fol_JH.JPG,,,2971513,,2012-08-01,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
57,"{""web"": ""web.JPG"", ""original"": ""full.JPG"", ""thumbnail"": ""thumbnail.JPG"", ""objid"": ""EAEA0-5E2F-5AEA-B6F2-0"", ""size"": 3204641}",4409c73e4aa3da635b0708c48bf19eeb,bird_Vidua_chalybeata_female_indigobird_Douentza_07_2010_above_60160_JH.JPG,,,3204641,,2010-07-01,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
58,"{""web"": ""web.jpg"", ""original"": ""a.jpg"", ""thumbnail"": ""thumbnail.jpg"", ""objid"": ""EAEA0-B337-DF12-0D5A-0"", ""size"": 3866624}",af2cba1c9d2ce531a3239b20ab2a53d7,fl_Moraceae_Ficus_cf_ingens_Sideradougou_09_28_2014_br_JH.JPG,,,3866624,,2014-09-28,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
59,"{""web"": ""web.jpg"", ""original"": ""a.jpg"", ""thumbnail"": ""thumbnail.jpg"", ""objid"": ""EAEA0-1419-1DA7-8404-0"", ""size"": 1611597}",235eaeccee091e153ad3b70e92c2c39a,fl_Malvaceae_Hibiscus_sterculiifolius_Seek_10_16_2014_entire_JH.JPG,,,1611597,,2014-10-16,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
60,"{""web"": null, ""original"": ""a.mov"", ""objid"": ""EAEA0-E249-17E2-07E5-0"", ""duration"": 5.571655, ""thumbnail"": null, ""size"": 145635}",9af5bb7643a1eeec567a3df8a7e24dc1,peanuts06_shake_peanuts_in_pot_to_loosen_skins.mov,,,145635,5.571655,,video/quicktime,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
